0,576,60,1629521960.4522395
0,576,60,1629521960.5192494
0,576,60,1629521960.593247
3,48,51,1629521961.4031124
6,125,70,1629521961.5891397
7,453,112,1629521961.6507452
7,453,112,1629521961.7123337
9,166,69,1629521961.7133288
7,453,112,1629521961.7760718
9,166,68,1629521961.777083
7,453,112,1629521961.839088
9,166,68,1629521961.840092
7,454,112,1629521961.900074
9,166,66,1629521961.9010768
7,454,112,1629521961.9600933
9,166,66,1629521961.9610817
7,454,112,1629521962.02308
9,166,66,1629521962.02308
9,166,66,1629521962.0840836
18,363,61,1629521962.389072
19,720,11,1629521962.389072
19,720,11,1629521962.4530845
23,554,25,1629521962.513141
24,464,61,1629521962.51414
19,720,11,1629521962.5151348
24,463,61,1629521962.5771458
19,720,12,1629521962.5781612
19,720,12,1629521962.6391497
24,463,60,1629521962.6401374
19,720,12,1629521962.697282
24,464,60,1629521962.697282
29,562,23,1629521962.7609894
19,720,11,1629521962.7620003
24,464,60,1629521962.76298
30,1003,91,1629521962.8260384
29,563,23,1629521962.8270383
19,720,11,1629521962.8280299
24,464,60,1629521962.829036
31,214,12,1629521962.8300385
30,1005,91,1629521962.8910458
29,562,24,1629521962.8920515
19,720,11,1629521962.8930488
24,464,60,1629521962.8930488
31,215,12,1629521962.8940475
30,1005,91,1629521962.9650397
19,720,11,1629521962.965618
24,464,60,1629521962.9665928
31,215,12,1629521962.9675925
30,1005,91,1629521963.0266013
19,720,11,1629521963.027597
24,464,60,1629521963.027597
31,215,12,1629521963.028595
30,1005,90,1629521963.0895722
24,464,60,1629521963.090598
30,1005,90,1629521963.1505756
24,464,60,1629521963.1515749
33,513,41,1629521963.1525853
30,1005,90,1629521963.2205796
24,464,60,1629521963.2215967
24,465,60,1629521963.2926035
34,1016,88,1629521963.3536136
24,465,60,1629521963.3546011
35,19,11,1629521963.3555918
24,467,60,1629521963.4165738
35,19,11,1629521963.4175787
36,1028,88,1629521963.4795804
24,468,60,1629521963.4805746
35,19,11,1629521963.481586
24,468,60,1629521963.5535831
35,19,11,1629521963.5535831
24,468,60,1629521963.6165776
35,19,12,1629521963.617586
39,1064,80,1629521963.676737
24,468,60,1629521963.6777291
35,19,12,1629521963.678709
39,1064,80,1629521963.738717
24,468,60,1629521963.7397118
35,19,12,1629521963.740733
39,1064,79,1629521963.8008924
24,471,60,1629521963.8018823
35,19,12,1629521963.8029175
39,1063,79,1629521963.8628876
